"edu" "work_f" "health_birth" "edu_exp" "GNI" "MMR" "ABR" "parliament"
"Norway" 1.00723888314374 61.2 81.6 17.5 166 4 7.8 39.6
"Australia" 0.996828752642706 58.8 82.4 20.2 135 6 12.1 30.5
"Switzerland" 0.98343685300207 61.8 83 15.8 156 6 1.9 28.5
"Denmark" 0.988612836438924 58.7 80.2 18.7 139 5 5.1 38
"Netherlands" 0.969060773480663 58.5 81.6 17.9 140 6 6.2 36.9
"Germany" 0.992783505154639 53.6 80.9 16.5 137 7 3.8 36.9
"Ireland" 1.02417302798982 53.1 80.9 18.6 127 9 8.2 19.9
"United States" 1.00316455696203 56.3 79.1 16.5 154 28 31 19.4
"Canada" 1 61.6 82 15.9 134 11 14.5 28.2
"New Zealand" 0.99685204616999 62 81.8 19.2 117 8 25.3 31.4
"Singapore" 0.914814814814815 58.8 83 15.4 180 6 6 25.3
"Sweden" 0.990836197021764 60.3 82.2 15.8 141 4 6.5 43.6
"United Kingdom" 0.998998998998999 55.7 80.7 16.2 126 8 25.8 23.5
"Iceland" 0.993449781659389 70.5 82.6 19 121 4 11.5 41.3
"Korea (Republic of)" 0.864197530864198 50.1 81.9 16.9 119 27 2.2 16.3
"Israel" 0.966781214203895 57.9 82.4 16 115 2 7.8 22.5
"Luxembourg" 1 50.7 81.7 13.9 157 11 8.3 28.3
"Japan" 1.01398601398601 48.8 83.5 15.3 122 6 5.4 11.6
"Belgium" 0.934861278648975 47.5 80.8 16.3 133 6 6.7 42.4
"France" 0.9375 50.7 82.2 16 123 12 5.7 25.7
"Austria" 1 54.6 81.4 15.7 136 4 4.1 30.3
"Finland" 1 55.7 80.8 17.1 125 4 9.2 42.5
"Slovenia" 0.977551020408163 52.3 80.4 16.8 99 7 0.6 27.7
"Spain" 0.913816689466484 52.5 82.6 17.3 116 4 10.6 38
"Italy" 0.884472049689441 39.6 83.1 16 118 4 4 30.1
"Czech Republic" 1.00200601805416 51.1 78.6 16.4 98 5 4.9 18.9
"Greece" 0.888059701492537 44.2 80.9 17.6 93 5 11.9 21
"Estonia" 1 56.2 76.8 16.5 94 11 16.8 19.8
"Cyprus" 0.930232558139535 56 80.2 14 101 10 5.5 12.5
"Qatar" 1.13050847457627 50.8 78.2 13.8 37 6 9.5 0
"Slovakia" 0.995979899497487 51.1 76.3 15.1 96 7 15.9 18.7
"Poland" 0.928654970760234 48.9 77.4 15.5 90 3 12.2 22.1
"Lithuania" 0.944856839872746 55.8 73.3 16.4 92 11 10.6 23.4
"Malta" 0.877237851662404 37.9 80.6 14.4 100 9 18.2 13
"Saudi Arabia" 0.860597439544808 20.2 74.3 16.3 153 16 10.2 19.9
"Argentina" 0.977430555555555 47.5 76.3 17.9 85 69 54.4 36.8
"United Arab Emirates" 1.19444444444444 46.5 77 13.3 165 8 27.6 17.5
"Chile" 0.959424083769633 49.2 81.7 15.2 83 22 55.3 15.8
"Portugal" 0.989626556016598 54.9 80.9 16.3 95 8 12.6 31.3
"Hungary" 0.991894630192503 44.8 75.2 15.4 89 14 12.1 10.1
"Bahrain" 1.10311284046693 39.2 76.6 14.4 124 22 13.8 15
"Latvia" 0.998989898989899 54.9 74.2 15.2 86 13 13.5 18
"Croatia" 0.908119658119658 44.7 77.3 14.8 65 13 12.7 25.8
"Kuwait" 0.987566607460036 43.6 74.4 14.7 185 14 14.5 1.5
"Montenegro" 0.889123548046463 43 76.2 15.2 46 7 15.2 17.3
"Belarus" 0.943600867678959 50.1 71.3 15.7 59 1 20.6 30.1
"Russian Federation" 0.968648648648649 57.1 70.1 14.7 87 24 25.7 14.5
"Oman" 0.82661996497373 29 76.8 13.6 120 11 10.6 9.6
"Romania" 0.935869565217391 48.7 74.7 14.2 61 33 31 12
"Uruguay" 1.08151093439364 55.6 77.2 15.5 64 14 58.3 11.5
"Bahamas" 1.04109589041096 69.3 75.4 12.6 84 37 28.5 16.7
"Kazakhstan" 0.964574898785425 67.7 69.4 15 81 26 29.9 20.1
"Barbados" 1.02052451539339 65.9 75.6 15.4 34 52 48.4 19.6
"Bulgaria" 0.971786833855799 47.9 74.2 14.4 50 5 35.9 20.4
"Panama" 1.08216432865731 49 77.6 13.3 62 85 78.5 19.3
"Malaysia" 0.91304347826087 44.4 74.7 12.7 88 29 5.7 14.2
"Mauritius" 0.851724137931034 43.6 74.4 15.6 60 73 30.9 11.6
"Trinidad and Tobago" 0.980295566502463 53 70.4 12.3 97 84 34.8 24.7
"Serbia" 0.793478260869565 44.5 74.9 14.4 32 16 16.9 34
"Cuba" 0.942893401015228 43.4 79.4 13.8 170 80 43.1 48.9
"Lebanon" 0.956678700361011 23.3 79.3 13.8 57 16 12 3.1
"Costa Rica" 1.0039603960396 46.6 79.4 13.9 41 38 60.8 33.3
"Iran (Islamic Republic of)" 0.920118343195266 16.6 75.4 15.1 49 23 31.6 3.1
"Venezuela (Bolivarian Republic of)" 1.11417322834646 51.1 74.2 14.2 54 110 83.2 17
"Turkey" 0.65 29.4 75.3 14.5 63 20 30.9 14.4
"Sri Lanka" 0.951570680628272 35.1 74.9 13.7 189 29 16.9 5.8
"Mexico" 0.919141914191419 45.1 76.8 13.1 53 49 63.4 37.1
"Brazil" 1.04198473282443 59.4 74.5 15.2 48 69 70.8 9.6
"Georgia" 0.967637540453074 56.5 74.9 13.8 168 41 46.8 11.3
"Azerbaijan" 0.962012320328542 62.9 70.8 11.9 56 26 40 15.6
"Jordan" 0.885350318471338 15.6 74 13.5 26 50 26.5 11.6
"The former Yugoslav Republic of Macedonia" 0.723021582733813 43.1 75.4 13.4 28 7 18.3 33.3
"Ukraine" 0.956204379562044 53.2 71 15.1 183 23 25.7 11.8
"Algeria" 0.861290322580645 15.2 74.8 14 38 89 10 25.7
"Peru" 0.851739788199697 68.2 74.6 13.1 25 89 50.7 22.3
"Albania" 0.930602957906712 44.9 77.8 11.8 192 21 15.3 20.7
"Armenia" 0.989473684210526 54.2 74.7 12.3 182 29 27.1 10.7
"Bosnia and Herzegovina" 0.643266475644699 34.1 76.5 13.6 187 8 15.1 19.3
"Ecuador" 1.01776649746193 54.7 75.9 14.2 22 87 77 41.6
"China" 0.816411682892907 63.9 75.8 13.1 35 32 8.6 23.6
"Fiji" 0.995348837209302 37.5 70 15.7 173 59 42.8 14
"Mongolia" 1.01426872770511 56.6 69.4 14.6 23 68 18.7 14.9
"Thailand" 0.875 64.3 74.4 13.5 40 26 41 6.1
"Libya" 1.32458233890215 30 71.6 14 47 15 2.5 16
"Tunisia" 0.711496746203904 25.1 74.8 14.6 20 46 4.6 31.3
"Colombia" 1.02338129496403 55.8 74 13.5 30 83 68.5 20.9
"Jamaica" 1.05413105413105 56.1 75.7 12.4 172 80 70.1 16.7
"Tonga" 0.990939977349943 53.5 72.8 14.7 142 120 18.1 0
"Belize" 1.00791556728232 49.2 70 13.6 174 45 71.4 13.3
"Dominican Republic" 1.04708097928437 51.3 73.5 13.1 29 100 99.6 19.1
"Suriname" 0.94692144373673 40.5 71.1 12.7 51 130 35.2 11.8
"Maldives" 0.834862385321101 56.2 76.8 13 33 31 4.2 5.9
"Samoa" 1.07166666666667 23.5 73.4 12.9 145 58 28.3 6.1
"Botswana" 0.944801026957638 71.9 64.5 12.5 58 170 44.2 9.5
"Moldova (Republic of)" 0.968944099378882 37.6 71.6 11.9 144 21 29.3 20.8
"Egypt" 0.724422442244224 23.7 71.1 13.5 21 45 43 2.2
"Gabon" 1.49307479224377 56.2 64.4 12.5 55 240 103 16.2
"Indonesia" 0.810975609756098 51.4 68.9 13 190 190 48.3 17.1
"Paraguay" 0.855813953488372 55.7 72.9 11.9 175 110 67 16.8
"Philippines" 1.03453689167975 51.1 68.2 11.3 176 120 46.8 27.1
"El Salvador" 0.844036697247706 47.8 73 12.3 171 69 76 27.4
"South Africa" 0.957839262187088 44.5 57.4 13.6 31 140 50.9 40.7
"Viet Nam" 0.834269662921348 73 75.8 11.9 143 49 29 24.3
"Bolivia (Plurinational State of)" 0.805414551607445 64.2 68.3 13.2 152 200 71.9 51.8
"Kyrgyzstan" 0.976239669421488 56 70.6 12.5 102 75 29.3 23.3
"Iraq" 0.553784860557769 14.9 69.4 10.1 43 67 68.7 26.5
"Guyana" 1.26150627615063 42.6 66.4 10.3 161 250 88.5 31.3
"Nicaragua" 1.02872062663185 47.4 74.9 11.5 128 100 100.8 39.1
"Morocco" 0.685430463576159 26.5 74 11.6 163 120 35.8 11
"Namibia" 0.968023255813953 54.7 64.8 11.3 186 130 54.9 37.7
"Guatemala" 0.943965517241379 49.3 71.8 10.7 164 140 97.2 13.3
"Tajikistan" 1.04276315789474 58.9 69.4 11.2 73 44 42.8 15.2
"India" 0.477031802120141 27 68 11.7 148 190 32.8 12.2
"Honduras" 1.08527131782946 42.8 73.1 11.1 114 120 84 25.8
